,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set
knoll,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
kaunda,"[0, 0, 0, 0, 7, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 4, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
interlink,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rexham,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
paradyn,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cope,"[3, 0, 0, 1, 2, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 1, 2, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
caterpillar,"[3, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
telemedia,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
attitud,"[0, 1, 0, 3, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 3, 3, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pentagon,"[0, 4, 0, 0, 0, 0, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
goodwood,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
alfr,"[1, 5, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
phone,"[5, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
zenith,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
undertaken,"[2, 4, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 4, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
synthet,"[0, 0, 6, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
attach,"[1, 2, 3, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 3, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mckesson,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
crimin,"[6, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pittsburgh,"[2, 3, 0, 0, 0, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
observ,"[0, 0, 3, 4, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 3, 3, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ecu,"[0, 0, 0, 0, 7, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 3, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
artifici,"[2, 3, 1, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 1, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
titl,"[0, 6, 0, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 5, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
underwritten,"[2, 4, 0, 0, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
founder,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
sheldahl,"[3, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
luca,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mike,"[0, 2, 0, 5, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 5, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
woodsid,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
regain,"[2, 0, 3, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 3, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
manipul,"[0, 3, 3, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 3, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rowntre,"[7, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
danish,"[2, 4, 0, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
libor,"[0, 0, 0, 0, 0, 7, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 3, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
banca,"[4, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
drink,"[1, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
biopool,"[0, 7, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
seaman,"[3, 1, 0, 0, 0, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
belong,"[1, 4, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 4, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
al-sabah,"[0, 0, 6, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 6, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tape,"[2, 3, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
texstyren,"[3, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fertil,"[1, 1, 0, 4, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fountain,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
javier,"[0, 0, 6, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 6, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
conciliatori,"[0, 0, 0, 6, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 3, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bradley,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fend,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cheetham,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cdn,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
instanc,"[1, 1, 0, 1, 3, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 1, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
memphi,"[2, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
kappa,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
meston,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
departur,"[0, 1, 0, 0, 5, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
punt,"[0, 2, 0, 1, 1, 2, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 1, 1, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
penni,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
halv,"[2, 2, 0, 1, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 1, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
task,"[0, 0, 2, 2, 1, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 2, 2, 1, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cgrt,"[0, 0, 0, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hale,"[3, 2, 0, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 1, 0, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
copper,"[3, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
contel,"[4, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
wessanen,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fso,"[0, 0, 0, 6, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bus,"[1, 4, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
timber,"[3, 1, 1, 0, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 1, 1, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mccrori,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
vat,"[3, 0, 2, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 1, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
proportion,"[4, 1, 0, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 0, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
brewer,"[2, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
administ,"[2, 2, 1, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 1, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
centel,"[5, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
papyrus,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
kdi,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
lubric,"[1, 2, 3, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 2, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
everyon,"[0, 2, 2, 2, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 2, 2, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
scrubber,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hovnanian,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tcbi,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fec,"[0, 0, 0, 0, 6, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
weyerhaeus,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
injur,"[1, 0, 1, 3, 0, 0, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 1, 3, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pariti,"[1, 0, 0, 0, 5, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 3, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hockin,"[0, 0, 0, 0, 0, 6, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 2, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
slowdown,"[1, 0, 1, 0, 1, 0, 2, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 1, 0, 1, 0, 1, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
csbc,"[0, 0, 0, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
printer,"[3, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
mercer,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
automak,"[2, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
stiff,"[3, 0, 2, 0, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 2, 0, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
y,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
broad-bas,"[0, 1, 1, 0, 1, 0, 3, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 1, 0, 1, 0, 3, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
cote,"[0, 4, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 2, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
laurentian,"[5, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
breakeven,"[5, 1, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
inl,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
suspect,"[0, 3, 1, 0, 0, 1, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 1, 0, 0, 1, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
kitti,"[0, 0, 0, 0, 0, 0, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 0, 0, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
imput,"[5, 0, 0, 0, 1, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
stoss,"[2, 4, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 4, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
hapag-lloyd,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
wolverin,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
richardson,"[4, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[4, 1, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
buoyant,"[3, 1, 0, 1, 0, 1, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 1, 0, 1, 0, 1, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
typic,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
impress,"[2, 0, 0, 0, 3, 0, 1, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 3, 0, 1, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
fl-yr,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[5, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
burger,"[3, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
coca,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
american-mad,"[0, 0, 0, 6, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 5, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
easi,"[2, 1, 2, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 1, 2, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
management-l,"[0, 6, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 6, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
edit,"[1, 5, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 5, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
uphold,"[0, 4, 2, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 4, 2, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
strenger,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
tseng,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[2, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bangemann,"[0, 0, 0, 0, 6, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[0, 0, 0, 0, 1, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
metromail,"[6, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[3, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
